id	nome	data	estado	cidade	conteudo	resposta	status
0	Correios	 13/04/2021	MG	São João Del Rei	"
				Boa tarde !_x005F_x000D_
_x005F_x000D_
No dia 08/04/2021, por volta das 14:00h fui a agência dos Correios 20307144, localizada em Barbacena-MG, para solicitar um envio de mercadoria para o estado de São Paulo. Ao chegar a agência, havia somente um cliente na minha frente e três funcionários prestando atendimento, até pensei que seria rápido o atendimento, mas fui surpreendido. Além da demora para ser atendido, tive o desprazer de ficar ouvindo as reclamações da funcionária referente ao seus instrumentos de trabalho._x005F_x000D_
Como se já não bastasse, fui persuadido por várias vezes para alterar minha forma de envio de PAC para SEDEX, ao recusar a insistência da funcionária percebi um descaso no atendimento e para piorar a situação, tive incluído em meu envio duas tarifas não solicitadas, AVISO DE RECEBIMENTO R$ 6,35  e VALOR DECLARADO R$ 9,59._x005F_x000D_
Durante o atendimento foi solicitado meu e-mail e em nenhum momento fui informado que seria para me cobrar algum tipo de serviço. Antes de me direcionar a agência, fiz a simulação de envio através do site dos Correios e o valor não passaria de R$ 30,00 mas ao realizar  pagamento o valor total foi de R$ 45,34._x005F_x000D_
_x005F_x000D_
A disposição!"	"
				Prezado Cliente, para que possamos verificar o ocorrido e tomar as devidas providências, necessitamos de informações adicionais. Caso a sua manifestação envolva um objeto postal registrado, solicitamos acessar o endereço http://apps2.correios.com.br/faleconosco/app/cadastro/reclamacao/index.php?codigo=NDYz e selecionar a opção ""Inconformidade na entrega de remessa/Objeto Postal"". "	"
				Não Resolvido"
1	Samsung	 25/04/2021	MG	Belo Horizonte	"
				Fui realizar essa ultima atualização do android e pela SEGUNDA VEZ meu aparelho travou na tela I BELIVE IN YOUR GALAXY e não sai disso! Mesmo tentando reiniciar forcadamente nada resolve! Isso já havia acontecido na atualização do Android 11 e eu PERDI TUDO NO APARELHO! Dessa vez não vou querer apenas o conserto mas sim um aparelho novo como me garante o CDC em caso de defeito de fabrica recorrente, e vou processar a samsung pois vai ser a segunda vez que perco tudo! Isso é um ABSURDO! Segue em anexo a nota fiscal e o recibo da autorizada da primeira vez que isso ocorreu! Amanhã dia 26/04 estarei indo na autorizada novamente."	"
				Caro cliente,_x005F_x000D_
_x005F_x000D_
 _x005F_x000D_
_x005F_x000D_
Conforme contato realizado através desta plataforma, os esclarecimentos necessários foram prestados. Além disso, está disponível maiores detalhes no histórico de seu protocolo. Qualquer dúvida estamos à disposição em nosso canal de atendimento no telefone informado pelo nosso especialista._x005F_x000D_
_x005F_x000D_
 _x005F_x000D_
_x005F_x000D_
Atenciosamente,_x005F_x000D_
Samsung Eletrônica da Amazônia"	"
				Não Resolvido"
2	Vivo - Telefônica	 14/04/2021	MG	Caratinga	"
				Ao contatar a empresa, solicitei a 2ª via de contas DETALHADAS do meu plano, porém recebi a fatura simplificada e só de alguns meses."	"
				Prezada Sra. Vitoria_x005F_x000D_
_x005F_x000D_
Realizamos tentativa de contato no dia 24/04/2021 porém não obtivemos sucesso._x005F_x000D_
_x005F_x000D_
Desta forma, segue carta anexa com as informações e as providências que foram tomadas com relação ao seu questionamento juntamente com a análise da operadora._x005F_x000D_
_x005F_x000D_
Estamos à disposição para quaisquer esclarecimentos através do e-mail inserido em carta resposta ou dos seguintes canais: site www.vivo.com.br, *8486, 1058 ou por SMS, encaminhando sua mensagem para 1058._x005F_x000D_
_x005F_x000D_
Caso haja alguma dúvida, discordância ou questionamento, gentileza utilizar o botão “Interagir com o Fornecedor” antes de executar qualquer ação._x005F_x000D_
_x005F_x000D_
FAVOR VISUALIZAR O CAMPO “ANEXOS”._x005F_x000D_
_x005F_x000D_
Obs.: Em caso de consulta pelo celular, poderá não ser disponibilizado a carta anexa pois depende da funcionalidade de cada aparelho. Desta forma orientamos que o acesso seja realizado pelo computador/Tablet._x005F_x000D_
_x005F_x000D_
Atenciosamente,_x005F_x000D_
Órgão de Defesa do Consumidor – Telefônica | Vivo."	"
				Não avaliado pelo consumidor"
3	Vivo - Telefônica	 13/04/2021	MG	Carmópolis de Minas	"
				Fiz uma reclamação anteriormente a respeito de um débito em aberto na Serasa  a atendente me informou que no prazo de 5 dias isso  seria resolvido mas já se passaram  muitos dias e o débito ainda continua em aberto. Também tentei entrar no app meu vivo para fazer o pagamento de uma conta em atraso e meu número foi cancelado novamente tentei contato pelo 1058 e quando peço a segunda via diz que ocorreu um erro  no sistema  não tem como eu pagar a fatura se não tenho código de barras"	"
				Prezada Sra. Juliana_x005F_x000D_
_x005F_x000D_
Realizamos tentativa de contato no dia 24/04/2021 porém não obtivemos sucesso._x005F_x000D_
_x005F_x000D_
Desta forma, segue carta anexa com as informações e as providências que foram tomadas com relação ao seu questionamento juntamente com a análise da operadora._x005F_x000D_
_x005F_x000D_
Estamos à disposição para quaisquer esclarecimentos através do e-mail inserido em carta resposta ou dos seguintes canais: site www.vivo.com.br, *8486, 1058 ou por SMS, encaminhando sua mensagem para 1058._x005F_x000D_
_x005F_x000D_
Caso haja alguma dúvida, discordância ou questionamento, gentileza utilizar o botão “Interagir com o Fornecedor” antes de executar qualquer ação._x005F_x000D_
_x005F_x000D_
FAVOR VISUALIZAR O CAMPO “ANEXOS”._x005F_x000D_
_x005F_x000D_
Obs.: Em caso de consulta pelo celular, poderá não ser disponibilizado a carta anexa pois depende da funcionalidade de cada aparelho. Desta forma orientamos que o acesso seja realizado pelo computador/Tablet._x005F_x000D_
_x005F_x000D_
Atenciosamente,_x005F_x000D_
Órgão de Defesa do Consumidor – Telefônica | Vivo."	"
				Não avaliado pelo consumidor"
4	Vivo - Telefônica	 14/04/2021	MG	Santa Bárbara do Leste	"
				Solicitei a Vivo plano para o número (33) XXXXX-X630, no valor de R$ 29,99. Acontece que há alguns meses alteraram o valor para R$ 34,98, sem antes me comunicarem. Entrei em contato e posteriormente com reclamação no consumidor.gov (em julho de 2020) e retornaram o valor para o que foi realmente contratado. Acontece que novamente estão me cobrando por um valor acima do contratado (R$ 34,99), solicitei então o cancelamento do plano, sem sucesso."	"
				Contatamos o responsável pela manifestação no dia 24/04/2021, o qual ficou ciente das informações e das providências que foram tomadas com relação ao seu questionamento._x005F_x000D_
Estamos à disposição para quaisquer esclarecimentos sobre esta demanda através do e-mail informado na carta anexo e para demais assuntos, favor nos contatar pelos seguintes canais: site www.vivo.com.br, *8486, 1058 ou por SMS, encaminhando sua mensagem para 1058._x005F_x000D_
Caso haja alguma dúvida, discordância ou questionamento, gentileza utilizar o botão “Interagir com o Fornecedor” antes de executar qualquer ação._x005F_x000D_
_x005F_x000D_
FAVOR VISUALIZAR O CAMPO “ANEXOS”. _x005F_x000D_
Obs.: Em caso de consulta pelo celular, poderá não ser visualizada a carta anexa, pois depende da funcionalidade de cada aparelho. Desta forma orientamos que o acesso seja realizado pelo computador/Tablet._x005F_x000D_
_x005F_x000D_
Atenciosamente, _x005F_x000D_
Órgão de Defesa do Consumidor – Telefônica | Vivo."	"
				Não avaliado pelo consumidor"
5	Vivo - Telefônica	 09/04/2021	MG	Belo Horizonte	"
				Não param de me ligar para oferecer produtos para  o condominio onde eu moro. Residencial Cristina: CNPJ: 02.175.679/XXXXX-X5. Não sou sindica e mesmo se fosse não têm o direito de me ligarem sem parar para oferecer produtos."	"
				Prezada Sra. Brenda,  _x005F_x000D_
_x005F_x000D_
Segue carta em anexo com as informações e as providências que foram tomadas com relação ao seu questionamento juntamente com a análise/proposta da operadora._x005F_x000D_
_x005F_x000D_
Estamos à disposição para quaisquer esclarecimentos através do e-mail contido em carta resposta. _x005F_x000D_
_x005F_x000D_
Caso haja alguma dúvida, discordância ou questionamento, gentileza utilizar o botão “Interagir com o Fornecedor” antes de executar qualquer ação._x005F_x000D_
_x005F_x000D_
FAVOR VISUALIZAR O CAMPO “ANEXOS”. _x005F_x000D_
_x005F_x000D_
Obs.: Em caso de consulta pelo celular, poderá não ser disponibilizado a carta anexa pois depende da funcionalidade de cada aparelho. Desta forma orientamos que o acesso seja realizado pelo computador/Tablet._x005F_x000D_
_x005F_x000D_
Atenciosamente, _x005F_x000D_
Órgão de Defesa do Consumidor – Telefônica | Vivo._x005F_x000D_
"	"
				Não avaliado pelo consumidor"
6	Ame Digital	 11/04/2021	MG	Belo Horizonte	"
				No dia 23/03/2020 fiz o pedido número XXXXX-X16326390 no site Submarino.com utilizando o método de pagamento Ame Digital._x005F_x000D_
Entre os itens estava o Tapete Para Yoga / Pilates Em Eva – Muvin vendido por CashPeg, no valor de R$ 44,90 (Entrega 04).	_x005F_x000D_
No dia 30/03/2020, recebi a mensagem do Submarino.com que o parceiro ainda não havia confirmado se já havia enviado o pedido. No mesmo dia, foi aberta a solicitação de cancelamento do(s) produto(s)._x005F_x000D_
No dia 31/03/2020, recebi a mensagem que “a solicitação de Cancelamento do(s) produto(s) abaixo, do pedido XXXXX-X16326390, foi finalizada. O reembolso já foi solicitado à administradora do seu cartão de crédito e estará disponível na próxima fatura ou na seguinte, de acordo com as regras da administradora do cartão.”_x005F_x000D_
Desde então entrei em contato com o vendedor algumas vezes no ano passado alertando que não localizei o reembolso nas minhas faturas._x005F_x000D_
Tentei contato algumas vezes com o vendedor, recebendo sempre a resposta:_x005F_x000D_
“Boa tarde, Rafael! O Ame Digital já foi acionado referente ao reembolso do pedido XXXXX-X16326390 (TAPETE PARA YOGA EM EVA - 180CM X 60CM X 0,6CM - TPYXXXXX-X00 - MUVIN). Por favor, contacte a Central do Atendimento pelo telefone XXXXX-X120 e informei o ticket 968818. Vou finalizar o protocolo de atendimento XXX.XXX.XXX-XX22, mas espero ter colaborado de alguma maneira e alcançado as expectativas no atendimento com você.”_x005F_x000D_
Sempre tive imensa dificuldade em obter contato com o serviço Ame Digital através do chat do aplicativo, de modo que até hoje não recebi resposta da equipe."	"
				Bom dia Rafael!_x005F_x000D_
Como vai?_x005F_x000D_
_x005F_x000D_
Não temos palavras para nos desculpar._x005F_x000D_
_x005F_x000D_
Sabemos da importância do seu problema e estamos correndo atrás para resolvermos o quanto antes._x005F_x000D_
_x005F_x000D_
Estamos aguardando apenas a confirmação da sua adquirente com a conclusão do valor em fatura._x005F_x000D_
Assim que eles confirmarem o estorno, notificaremos de imediato para que possamos validar juntos._x005F_x000D_
_x005F_x000D_
Não desistiremos até que esteja tudo resolvido._x005F_x000D_
_x005F_x000D_
Agradecemos desde já._x005F_x000D_
_x005F_x000D_
Atenciosamente, Thamis_x005F_x000D_
Atendimento Especial - Consumidor.gov"	"
				Não avaliado pelo consumidor"
7	Pernambucanas Cartões	 14/04/2021	MG	Uberaba	"
				Procurado operadora dia 22/02 devido não baixa da fatura paga dia 18/02 com vencimento em 15/02. Após essa data foi gerado cobranças duplicadas do valor pago, taxas e multas, bem como notificação de negativado do CPF ao SERASA."	"
				Olá Lazara, _x005F_x000D_
_x005F_x000D_
Recebemos sua manifestação e informamos que após analise o seu pagamento já consta processado em sistema. Sendo assim você não possui negativação em seu CPF. _x005F_x000D_
_x005F_x000D_
Atenciosamente_x005F_x000D_
Equipe Mídias Sociais     _x005F_x000D_
_x005F_x000D_
Pernambucanas - Mídias Sociais _x005F_x000D_
Pernambucanas NA LOJA, NO APP, NO SITE, EM Família._x005F_x000D_
Sempre que precisar falar conosco, utilize os nossos canais oficiais_x005F_x000D_
Whats XXXXX-X441 - Chat aplicativo  Cartão Pernambucanas_x005F_x000D_
Central de Atendimento 11 3004 44 41_x005F_x000D_
"	"
				Não avaliado pelo consumidor"
8	Pernambucanas Cartões	 13/04/2021	MG	Belo Horizonte	"
				Estou com uma fatura vencida da qual devido problemas financeiras foi necessário realizar um parcelamento. O mesmo foi realizado atrás do chat no app no dia 11/04/2021 as 15:23. Onde parcelei a fatura em 6x de 180,54 e teria até 4 para pagamento. Fiz uma transferência via pix com o valor para a conta digital pernambucanas com para efetuar o pagamento do valor da parcela de entrada. Porém, ao tentar finalizar o pagamento o informa que a senha está errada. Acionei o atendimento via WhatsApp pelo protocolo XXX.XXX.XXX-XX3 onde a moça me informou que a senha e nem o cartão da conta estavam ativos. Ou seja, eles criam uma conta, não informa ao cliente, o mesmo ao usa-la descobre que são cartões diferentes e precisa ir em loja para gerar e ativar(lojas fechadas em plena pandemia). _x005F_x000D_
Entrei em contato via telefone, solicitando o envio da senha duas vezes. Os dois atendentes falaram que ate em 2 horas receberia a senha via SMS. Senha não chegou após 24hs. Solicito a empresa resolver a situação, pois já recebi comunicado só Serasa que ela Pernambucanas já noticiou para negativação de meu nome junto ao órgão. Divida com nem um mês de vencida, negociei, mas a loja não colabora para eu pagar. Segue anexo da negociação via chat no dia 11/04/2021."	"
				Olá Cristiano, _x005F_x000D_
_x005F_x000D_
Recebemos sua manifestação e informamos que após analise em sistema será necessário que efetue a transferência da conta digital para efetuar o pagamento da fatura vigente. _x005F_x000D_
_x005F_x000D_
Atenciosamente_x005F_x000D_
Equipe Mídias Sociais     _x005F_x000D_
_x005F_x000D_
Pernambucanas - Mídias Sociais _x005F_x000D_
Pernambucanas NA LOJA, NO APP, NO SITE, EM Família._x005F_x000D_
Sempre que precisar falar conosco, utilize os nossos canais oficiais_x005F_x000D_
Whats XXXXX-X441 - Chat aplicativo  Cartão Pernambucanas_x005F_x000D_
Central de Atendimento 11 3004 44 41"	"
				Não avaliado pelo consumidor"
9	Pernambucanas Cartões	 11/04/2021	MG	Belo Horizonte	"
				Boa noite! No dia 15 de Março 2020 eu entrei em contato com sac da pernanbucas , para resolver a situação da minha fatura que  tinham sido pagas, dai no mesmo dia tirei a outra fatura dai veio com muita multa de atraso  e juros,  a atendente disse pra eu pagar a fatura que veio, e eu paguei, ela me deu o protocolo e falou pra entrar no e-mail XXXXXXXXXXX@XXXXX.XXX eu fiz exatamente o que ela falou, mandei e-mail e mandei o numero do protocolo  e anexei a fatura paga, só que ela disse pra aguardar até o dia 17 ninguém entrou em contato comigo, quando foi agora tirei a outra fatura, veio o estorno, mais hoje dia 10/04/20 Eu recebi uma ligação dizendo que eu estou com 2 faturas sem pagar uma de fevereiro e a outra de março, segue anexo, Segunda feira  fecha outra fatura e vem com juros e multas das faturas  de fevereiro e março e  estou desempregada não  tenho  como pagar o que estão  me cobrando, sendo  que  já paguei."	"
				Olá Marcilene, _x005F_x000D_
_x005F_x000D_
Recebemos sua manifestação e informamos realizamos o ajustes dos valores cobrado indevido em sistema cobrado em sua fatura e esse valor estará evidente na sua próxima fatura. _x005F_x000D_
_x005F_x000D_
Atenciosamente_x005F_x000D_
Equipe Mídias Sociais     _x005F_x000D_
_x005F_x000D_
Pernambucanas - Mídias Sociais _x005F_x000D_
Pernambucanas NA LOJA, NO APP, NO SITE, EM Família._x005F_x000D_
Sempre que precisar falar conosco, utilize os nossos canais oficiais_x005F_x000D_
Whats XXXXX-X441 - Chat aplicativo  Cartão Pernambucanas_x005F_x000D_
Central de Atendimento 11 3004 44 41_x005F_x000D_
"	"
				Não avaliado pelo consumidor"
